filename,description
Malaysian_food_portion_size__photo_album_p73_img3.png,"A single slice of white bread with yellow jam on a paper plate. 2 teaspoons of kaya, around 10g"
Malaysian_food_portion_size__photo_album_p75_img2.png,"A single slice of white bread with red jam on a paper plate. 1 teaspoon of jam, around 5g"
Malaysian_food_portion_size__photo_album_p75_img3.png,"A slice of bread with red jam on a paper plate. 2 teaspoons of jam, around 10g "
Malaysian_food_portion_size__photo_album_p77_img2.png,"A single slice of toast with spread on a white paper plate. 1 teaspoon of peanut butter, around 5g "
Malaysian_food_portion_size__photo_album_p77_img3.png,"A single slice of bread with peanut butter on a white paper plate. 2 teaspoons of peanut butter, around 10g "
Malaysian_food_portion_size__photo_album_p79_img1.png,"A single piece of chapatti on a plate, approximately 20 cm in diameter. 1 piece of chapatti, around 61g "
Malaysian_food_portion_size__photo_album_p79_img2.png,"A single large roti on a white plate, approximately 20 cm in diameter. 1 plateful of chapatti, around 70g "
Malaysian_food_portion_size__photo_album_p7_img1.png,"A portion of white rice in a rectangular styrofoam container, approximately 14 cm in length. 1 small packet of cooked white rice, around 213g "
Malaysian_food_portion_size__photo_album_p7_img2.png,"A portion of cooked white rice in a rectangular styrofoam container, approximately 20 cm in length. 1 large packet of cooked white rice, around 309g"
Malaysian_food_portion_size__photo_album_p81_img1.png,"A single serving of thosai on a paper plate, approximately 25 cm long. 1 piece thosai, around 78g (29x11x0.6cm)"
Malaysian_food_portion_size__photo_album_p81_img2.png,"A single large piece of thosai on a white plate, approximately 25 cm in diameter. 1 piece of thosai, around 112g (24x18x0.5cm)"
Malaysian_food_portion_size__photo_album_p83_img1.png,"A single piece of roti canai on a disposable plate, approximately 22 cm in diameter. 1 piece of roti canai, around 68g (16x0.6cm)"
Malaysian_food_portion_size__photo_album_p83_img2.png,"A single folded roti canai on a paper plate, approximately 18 cm in length. 1 piece roti canai, around 93g (17x0.6cm)"
Malaysian_food_portion_size__photo_album_p85_img1.png,"Three small pieces of cooked beef on a white disposable plate. 4 pieces of beef rendang/rendang daging, around 47g "
Malaysian_food_portion_size__photo_album_p85_img2.png,"Several pieces of brown, cooked meat chunks on a white disposable plate. 8 pieces of beef rendang/rendang daging, around 99g"
Malaysian_food_portion_size__photo_album_p87_img1.png,"A portion of murtabak chicken on a white plate. 1 piece of murtabak with chicken filling, around 224g"
Malaysian_food_portion_size__photo_album_p89_img1.png,"A single piece of marinated chicken drumstick on a white paper plate. 1 piece drumstick chicken curry, around 105g "
Malaysian_food_portion_size__photo_album_p89_img2.png,"A single piece of glazed chicken on a white paper plate. 1 piece of thigh chicken curry, around 130g"
Malaysian_food_portion_size__photo_album_p89_img3.png,"A single serving of cooked chicken on a white plate. 1 piece of breast chicken curry, around 106g "
Malaysian_food_portion_size__photo_album_p91_img2.png,"A serving of cooked noodles on a disposable plate, approximately 15 centimeters in diameter. 1 plate fried maggi noodles/maggi goreng, around 275g"
Malaysian_food_portion_size__photo_album_p93_img1.png,"A single serving of nasi briyani on a white paper plate. 2 scoops of nasi briyani, around 125g "
Malaysian_food_portion_size__photo_album_p93_img2.png,"A serving of nasi briyani on a disposable plate. 3 scoops of nasi briyani, around 195g "
Malaysian_food_portion_size__photo_album_p93_img3.png,"A serving of nasi briyani in a white disposable bowl. 4 scoops of nasi briyani, around 265g"
Malaysian_food_portion_size__photo_album_p95_img1.png,"A single chee cheong fun on a white paper plate. 1 piece of chee cheong fun, around 80g "
Malaysian_food_portion_size__photo_album_p95_img2.png,"Two pieces of raw sea cucumber on a white paper plate with rulers beside it for scale. 2 pieces of chee cheong fun, around 160g"
Malaysian_food_portion_size__photo_album_p95_img3.png,"Three pieces of raw squid on a white paper plate. 3 pieces of chee cheong fun, around 240g"
Malaysian_food_portion_size__photo_album_p97_img1.png,"A small portion of French fries on a white disposable plate. 1 cup of french fries, around 65g "
Malaysian_food_portion_size__photo_album_p97_img2.png,"A portion of French fries on a white paper plate. 1 and a half cup of french fries, aroumd 100g"
Malaysian_food_portion_size__photo_album_p99_img1.png,"A portion of nasi lemak on a paper plate, featuring rice with sambal, a cucumber slice, peanuts, anchovies, and an omelette strip, alongside a banana leaf. 1 small plate of nasi lemak, around 181g "
Malaysian_food_portion_size__photo_album_p99_img2.png,"A portion of rice with sliced cucumber, sambal, a few peanuts, and a boiled egg slice on a paper plate. 1 large plate of nasi lemak, around 273g"
Malaysian_food_portion_size__photo_album_p9_img1.png,"A single serving of brown rice molded into a dome shape on a white paper plate. 1 normal serving of chicken rice , around 160g"
Malaysian_food_portion_size__photo_album_p9_img2.png,"A large portion of fried rice on a white paper plate. 1 normal added portion of chicken rice, around 280g "
